Alias	RecipientFilter
DG_EMB_SUPERVISORES-CGR	((((((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (((CustomAttribute9 -eq 'CGR1') -or (CustomAttribute9 -eq 'CGR'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-GPX	((((CustomAttribute3 -eq 'GPX') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-JAX	((((CustomAttribute3 -eq 'JAX') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-BOT	((((CustomAttribute3 -eq 'BOT') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-EGM	((((CustomAttribute3 -eq 'EGM') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-PTE	((((CustomAttribute3 -eq 'PTE') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-MLB	((((CustomAttribute3 -eq 'MLB') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-ESC	((((CustomAttribute3 -eq 'ESC') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-FLN	((((((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (((CustomAttribute9 -eq 'FLN') -or (CustomAttribute9 -eq 'FLN1'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-FLL	((((((CustomAttribute3 -eq 'FLL') -or (CustomAttribute3 -eq 'AZ'))) -and (((CustomAttribute5 -eq 'L4B') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_VICE-PRESIDENTES	((((((((((((((((((((((((((((((((((((CustomAttribute3 -eq 'SJK') -or (CustomAttribute3 -eq 'EGM'))) -or (CustomAttribute3 -eq 'ESC'))) -or (CustomAttribute3 -eq 'LBG'))) -or (CustomAttribute3 -eq 'MLB'))) -and (((((CustomAttribute5 -eq 'L1B') -or (CustomAttribute5 -eq 'L1A'))) -or (CustomAttribute5 -eq 'L1'))))) -and (RecipientType -eq 'UserMailbox'))) -and (-not(CustomAttribute7 -like 'EVE*')))) -and (-not(Name -like 'SystemMailbox{*')))) -and (-not(Name -like 'CAS_{*')))) -and (-not(RecipientTypeDetailsValue -eq 'MailboxPlan')))) -and (-not(RecipientTypeDetailsValue -eq 'DiscoveryMailbox')))) -and (-not(RecipientTypeDetailsValue -eq 'PublicFolderMailbox')))) -and (-not(RecipientTypeDetailsValue -eq 'ArbitrationMailbox')))) -and (-not(RecipientTypeDetailsValue -eq 'AuditLogMailbox')))) -and (-not(RecipientTypeDetailsValue -eq 'AuxAuditLogMailbox')))) -and (-not(RecipientTypeDetailsValue -eq 'SupervisoryReviewPolicyMailbox')))) -and (-not(RecipientTypeDetailsValue -eq 'GuestMailUser')))) -and (-not(Name -like 'SystemMailbox{*')) -and (-not(Name -like 'CAS_{*')) -and (-not(RecipientTypeDetailsValue -eq 'MailboxPlan')) -and (-not(RecipientTypeDetailsValue -eq 'DiscoveryMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'PublicFolderMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'ArbitrationMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuxAuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'SupervisoryReviewPolicyMailbox')))
DG_EMB_SUPERVISORES-SJK	((((CustomAttribute3 -eq 'SJK') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-VCP	((((CustomAttribute3 -eq 'VCP') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-TTE	((((CustomAttribute3 -eq 'TTE') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_VICE-PRESIDENTES-INGLES	((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((CustomAttribute3 -eq 'AMS') -or (CustomAttribute3 -eq 'AUS'))) -or (CustomAttribute3 -eq 'AZ'))) -or (CustomAttribute3 -eq 'BDL'))) -or (CustomAttribute3 -eq 'BJS'))) -or (CustomAttribute3 -eq 'BNA'))) -or (CustomAttribute3 -eq 'BOS'))) -or (CustomAttribute3 -eq 'Brussels'))) -or (CustomAttribute3 -eq 'CAN_OFF_US'))) -or (CustomAttribute3 -eq 'DEU'))) -or (CustomAttribute3 -eq 'DXB'))) -or (CustomAttribute3 -eq 'FLL'))) -or (CustomAttribute3 -eq 'FRA'))) -or (CustomAttribute3 -eq 'HUN'))) -or (CustomAttribute3 -eq 'INB'))) -or (CustomAttribute3 -eq 'IND'))) -or (CustomAttribute3 -eq 'JAX'))) -or (CustomAttribute3 -eq 'JNB'))) -or (CustomAttribute3 -eq 'JOR'))) -or (CustomAttribute3 -eq 'JPN'))) -or (CustomAttribute3 -eq 'LAX'))) -or (CustomAttribute3 -eq 'LBG'))) -or (CustomAttribute3 -eq 'MCN'))) -or (CustomAttribute3 -eq 'MEM'))) -or (CustomAttribute3 -eq 'MIMO'))) -or (CustomAttribute3 -eq 'MLB'))) -or (CustomAttribute3 -eq 'Moscow'))) -or (CustomAttribute3 -eq 'MQY'))) -or (CustomAttribute3 -eq 'NZD'))) -or (CustomAttribute3 -eq 'SIN'))) -or (CustomAttribute3 -eq 'TITUS'))) -or (CustomAttribute3 -eq 'TIX'))) -or (CustomAttribute3 -eq 'UK'))) -or (CustomAttribute3 -eq 'Z2_OFF_US'))) -or (CustomAttribute3 -eq 'Z3_OFF_US'))) -and (-not(WindowsLiveID -eq '*@eveairmobility.com')))) -and (((((CustomAttribute5 -eq 'L1') -or (CustomAttribute5 -eq 'L1A'))) -or (CustomAttribute5 -eq 'L1B'))))) -and (-not(Name -like 'SystemMailbox{*')) -and (-not(Name -like 'CAS_{*')) -and (-not(RecipientTypeDetailsValue -eq 'MailboxPlan')) -and (-not(RecipientTypeDetailsValue -eq 'DiscoveryMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'PublicFolderMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'ArbitrationMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'AuxAuditLogMailbox')) -and (-not(RecipientTypeDetailsValue -eq 'SupervisoryReviewPolicyMailbox')))
DG_EMB_SUPERVISORES-SOD	((((CustomAttribute3 -eq 'SOD') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-SIN	((((CustomAttribute3 -eq 'SIN') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
